datetime,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
10/1/2024,1,6125.993077,8641.185888,644.9593124,265.9578487,90.97047093,199.1716697,199.3689684,110.4442228,576.6560567,112.1774428,2376.838522,1373.346144,38.68403358,13.72340785,1382.422371
10/2/2024,1,3032.119542,12025.40458,644.9593124,444.791616,90.97047093,309.8226434,310.1295526,1045.972253,576.6560567,112.1774428,93.78006969,740.7745888,27.63145256,13.72340785,1455.825379
10/3/2024,1,1982.302198,14779.22963,644.9593124,1329.789243,90.97047093,68.603612,68.6715705,747.1230845,1182.254112,112.1774428,93.78006969,1098.676988,27.63145256,82.22732949,1186.681286
10/4/2024,1,2494.860092,16323.8785,644.9593124,27.51285764,90.97047093,68.603612,68.6715705,753.6197844,1182.254112,112.1774428,93.78006969,948.8573323,11.04034353,61.67035356,1088.810609
10/5/2024,1,2908.611559,15582.88943,515.9674731,1306.861894,90.97047093,8.856096351,8.864869169,747.1230845,80.3511638,112.1774428,494.7704113,848.9776227,11.04034353,41.11280344,1235.616625
10/6/2024,1,2908.611559,16323.8785,515.9674731,1192.224859,90.97047093,75.24263998,75.31717508,987.5017921,80.3511638,112.1774428,126.1179146,990.4739541,7.049857919,23.14030697,990.9399322
10/7/2024,1,3322.363128,15575.51636,515.9674731,1609.503521,90.97047093,6.642072263,6.648651877,805.5935459,80.3511638,112.1774428,126.1179146,1315.083056,5.533473385,23.14030697,1003.173901
10/8/2024,1,3322.363128,15907.30252,515.9674731,311.8126435,90.97047093,6.642072263,6.648651877,1032.978854,80.3511638,112.1774428,126.1179146,857.3009471,7.049857919,41.11280344,856.3678858
10/9/2024,1,3322.363128,13931.33168,515.9674731,1669.114841,90.97047093,6.642072263,6.648651877,571.7115382,0.780254603,112.1774428,126.1179146,624.2482305,7.049857919,41.11280344,1064.34294
10/10/2024,1,3322.363128,13931.33168,515.9674731,1173.882922,90.97047093,6.642072263,6.648651877,571.7115382,0.780254603,112.1774428,2299.227481,815.6843253,7.049857919,41.11280344,905.3032243
10/11/2024,1,3322.363128,9618.111775,426.6654216,481.4753941,90.97047093,6.642072263,6.648651877,175.4115463,0.780254603,112.1774428,1901.470818,649.2182036,7.049857919,20.55640172,978.7062319
10/12/2024,1,3427.344842,10838.34748,426.6654216,1990.098405,90.97047093,6.642072263,6.648651877,383.3065921,0.780254603,112.1774428,177.0502599,1131.970103,7.049857919,61.67035356,1198.914986
10/13/2024,1,3649.659151,13201.40215,426.6654216,1146.370064,90.97047093,6.642072263,6.648651877,344.3262305,0.780254603,112.1774428,177.0502599,357.9023992,7.049857919,20.55640172,1431.35771
10/14/2024,1,3711.413143,18052.85299,426.6654216,1650.772904,90.97047093,6.642072263,6.648651877,877.057407,0.780254603,112.1774428,177.0502599,649.2182036,7.049857919,20.55640172,1015.407601
